run_id,tick,event_type,robot_id,task_id,details
20260821_230442_0dae14,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=A-04
20260821_230442_0dae14,3,task_assigned,R3,G00001,
20260821_230442_0dae14,5,task_created,,G00002,type=PICK pickup=E-04 dropoff=PICK-1
20260821_230442_0dae14,5,task_assigned,R5,G00002,
20260821_230442_0dae14,7,task_created,,G00003,type=PACK pickup=PICK-1 dropoff=PACK-1
20260821_230442_0dae14,7,task_assigned,R2,G00003,
20260821_230442_0dae14,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260821_230442_0dae14,9,task_assigned,R1,G00004,
20260821_230442_0dae14,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=A-05
20260821_230442_0dae14,11,task_assigned,R4,G00005,
20260821_230442_0dae14,15,task_created,,G00006,type=PICK pickup=A-04 dropoff=PICK-1
20260821_230442_0dae14,15,task_assigned,R6,G00006,
20260821_230442_0dae14,17,task_completed,R3,G00001,
20260821_230442_0dae14,17,task_completed,R1,G00004,
20260821_230442_0dae14,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=D-06
20260821_230442_0dae14,19,task_assigned,R3,G00007,
20260821_230442_0dae14,19,task_created,,G00008,type=PACK pickup=PICK-3 dropoff=PACK-1
20260821_230442_0dae14,19,task_assigned,R1,G00008,
20260821_230442_0dae14,20,task_completed,R5,G00002,
20260821_230442_0dae14,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260821_230442_0dae14,23,task_assigned,R5,G00009,
20260821_230442_0dae14,24,task_completed,R2,G00003,
20260821_230442_0dae14,25,task_created,,G00010,type=PICK pickup=D-05 dropoff=PICK-2
20260821_230442_0dae14,25,task_assigned,R2,G00010,
20260821_230442_0dae14,25,robot_blocked,R3,,
20260821_230442_0dae14,25,robot_blocked,R6,,
20260821_230442_0dae14,26,robot_unblocked,R3,,
20260821_230442_0dae14,26,robot_replanned,R3,,
20260821_230442_0dae14,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=A-01
20260821_230442_0dae14,27,robot_unblocked,R6,,
20260821_230442_0dae14,31,task_created,,G00012,type=PACK pickup=PICK-1 dropoff=PACK-2
20260821_230442_0dae14,32,task_completed,R4,G00005,
20260821_230442_0dae14,33,task_assigned,R4,G00011,
20260821_230442_0dae14,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=E-04
20260821_230442_0dae14,35,task_created,,G00014,type=PICK pickup=C-04 dropoff=PICK-1
20260821_230442_0dae14,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
20260821_230442_0dae14,39,task_completed,R5,G00009,
20260821_230442_0dae14,40,task_assigned,R5,G00013,
20260821_230442_0dae14,42,task_completed,R4,G00011,
20260821_230442_0dae14,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=G-01
20260821_230442_0dae14,43,task_assigned,R4,G00016,
20260821_230442_0dae14,43,task_created,,G00017,type=PACK pickup=PICK-1 dropoff=PACK-2
20260821_230442_0dae14,45,task_created,,G00018,type=PICK pickup=F-05 dropoff=PICK-3
20260821_230442_0dae14,49,task_completed,R1,G00008,
20260821_230442_0dae14,50,task_assigned,R1,G00014,
20260821_230442_0dae14,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=A-06
20260821_230442_0dae14,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-1
20260821_230442_0dae14,52,task_completed,R3,G00007,
20260821_230442_0dae14,53,task_assigned,R3,G00019,
20260821_230442_0dae14,54,task_completed,R6,G00006,
20260821_230442_0dae14,54,task_completed,R2,G00010,
20260821_230442_0dae14,55,task_assigned,R2,G00018,
20260821_230442_0dae14,55,task_created,,G00021,type=PICK pickup=G-01 dropoff=PICK-1
20260821_230442_0dae14,55,task_assigned,R6,G00021,
20260821_230442_0dae14,55,task_created,,G00022,type=PACK pickup=PICK-3 dropoff=PACK-2
20260821_230442_0dae14,59,task_created,,G00023,type=PUTAWAY pickup=RECV dropoff=D-01
20260821_230442_0dae14,61,robot_blocked,R3,,
20260821_230442_0dae14,61,robot_blocked,R4,,
20260821_230442_0dae14,62,robot_unblocked,R3,,
20260821_230442_0dae14,62,robot_replanned,R3,,
20260821_230442_0dae14,63,robot_unblocked,R4,,
20260821_230442_0dae14,64,task_completed,R4,G00016,
20260821_230442_0dae14,65,task_assigned,R4,G00023,
20260821_230442_0dae14,65,task_created,,G00024,type=PICK pickup=B-01 dropoff=PICK-1
20260821_230442_0dae14,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-2
20260821_230442_0dae14,67,task_created,,G00026,type=PUTAWAY pickup=BUFFER dropoff=D-06
20260821_230442_0dae14,67,task_created,,G00027,type=PACK pickup=PICK-1 dropoff=PACK-2
20260821_230442_0dae14,73,task_completed,R5,G00013,
20260821_230442_0dae14,73,robot_blocked,R1,,
20260821_230442_0dae14,73,robot_blocked,R2,,
20260821_230442_0dae14,74,task_assigned,R5,G00026,
20260821_230442_0dae14,74,robot_unblocked,R1,,
20260821_230442_0dae14,74,robot_replanned,R1,,
20260821_230442_0dae14,75,task_created,,G00028,type=PUTAWAY pickup=RECV dropoff=H-03
20260821_230442_0dae14,75,task_created,,G00029,type=PICK pickup=F-07 dropoff=PICK-1
20260821_230442_0dae14,75,robot_unblocked,R2,,
20260821_230442_0dae14,75,robot_blocked,R6,,
20260821_230442_0dae14,76,robot_unblocked,R6,,
20260821_230442_0dae14,79,task_created,,G00030,type=PACK pickup=PICK-2 dropoff=PACK-2
20260821_230442_0dae14,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-2
20260821_230442_0dae14,80,task_completed,R2,G00018,
20260821_230442_0dae14,83,task_completed,R6,G00021,
20260821_230442_0dae14,83,task_created,,G00032,type=PUTAWAY pickup=BUFFER dropoff=C-06
20260821_230442_0dae14,84,task_completed,R3,G00019,
20260821_230442_0dae14,84,task_assigned,R6,G00028,
20260821_230442_0dae14,84,task_assigned,R2,G00032,
20260821_230442_0dae14,85,task_assigned,R3,G00024,
20260821_230442_0dae14,85,task_created,,G00033,type=PICK pickup=D-08 dropoff=PICK-1
20260821_230442_0dae14,87,task_completed,R1,G00014,
20260821_230442_0dae14,88,task_assigned,R1,G00029,
20260821_230442_0dae14,91,task_created,,G00034,type=PUTAWAY pickup=RECV dropoff=G-01
20260821_230442_0dae14,91,task_created,,G00035,type=PACK pickup=PICK-2 dropoff=PACK-1
20260821_230442_0dae14,93,task_created,,G00036,type=SHIP pickup=STAGING dropoff=DOCK-1
20260821_230442_0dae14,95,task_created,,G00037,type=PICK pickup=D-06 dropoff=PICK-1
20260821_230442_0dae14,97,task_completed,R3,G00024,
20260821_230442_0dae14,97,task_completed,R5,G00026,
20260821_230442_0dae14,99,task_created,,G00038,type=PUTAWAY pickup=RECV dropoff=G-04
20260821_230442_0dae14,102,task_completed,R4,G00023,
20260821_230442_0dae14,103,task_created,,G00039,type=PACK pickup=PICK-2 dropoff=PACK-1
20260821_230442_0dae14,105,task_created,,G00040,type=PICK pickup=D-04 dropoff=PICK-3
20260821_230442_0dae14,106,task_interrupted,R1,G00029,
20260821_230442_0dae14,106,task_completed,R2,G00032,
20260821_230442_0dae14,107,task_created,,G00041,type=PUTAWAY pickup=RECV dropoff=D-04
20260821_230442_0dae14,107,task_created,,G00042,type=SHIP pickup=STAGING dropoff=DOCK-2
20260821_230442_0dae14,108,robot_blocked,R6,,
20260821_230442_0dae14,109,robot_blocked,R1,,
20260821_230442_0dae14,109,robot_unblocked,R6,,
20260821_230442_0dae14,110,robot_unblocked,R1,,
20260821_230442_0dae14,115,task_interrupted,R6,G00028,
20260821_230442_0dae14,115,task_created,,G00043,type=PUTAWAY pickup=RECV dropoff=C-03
20260821_230442_0dae14,115,task_created,,G00044,type=PICK pickup=E-02 dropoff=PICK-1
20260821_230442_0dae14,115,task_created,,G00045,type=PACK pickup=PICK-1 dropoff=PACK-2
20260821_230442_0dae14,115,robot_waiting_for_charger,R6,,
20260821_230442_0dae14,116,task_assigned,R4,G00028,
20260821_230442_0dae14,116,robot_blocked,R4,,
20260821_230442_0dae14,117,robot_unblocked,R4,,
20260821_230442_0dae14,117,robot_replanned,R4,,
