target,factor,value,label,baseline,variant,delta,delta_percent,abs_delta
cost_per_task,num_robots,6,num_robots=6,0.03892888888888888,0.04355555555555555,0.004626666666666668,0.1188491836967691,0.004626666666666668
cost_per_task,num_robots,8,num_robots=8,0.03892888888888888,0.03576444444444444,-0.003164444444444442,-0.08128781824409174,0.003164444444444442
cost_per_task,charger_capacity,2,charger_capacity=2,0.03892888888888888,0.037904444444444435,-0.0010244444444444459,-0.026315789473684254,0.0010244444444444459
cost_per_task,charger_capacity,6,charger_capacity=6,0.03892888888888888,0.03995333333333333,0.0010244444444444459,0.026315789473684254,0.0010244444444444459
cost_per_task,num_robots,10,num_robots=10,0.03892888888888888,0.03818666666666667,-0.0007422222222222136,-0.019066103436465132,0.0007422222222222136
cost_per_task,conflict_manager,local_yield,conflict_manager=local_yield,0.03892888888888888,0.038591111111111104,-0.0003377777777777771,-0.00867678958785248,0.0003377777777777771
cost_per_task,conflict_manager,priority_reservation,conflict_manager=priority_reservation,0.03892888888888888,0.03867389978213507,-0.00025498910675381126,-0.006550125473182731,0.00025498910675381126
p95_cycle_time,num_robots,6,num_robots=6,49.533333333333324,101.16666666666667,51.63333333333335,1.042395693135936,51.63333333333335
p95_cycle_time,num_robots,8,num_robots=8,49.533333333333324,60.133333333333326,10.600000000000001,0.21399730820995969,10.600000000000001
p95_cycle_time,num_robots,10,num_robots=10,49.533333333333324,56.04999999999999,6.516666666666666,0.1315612382234186,6.516666666666666
p95_cycle_time,conflict_manager,local_yield,conflict_manager=local_yield,49.533333333333324,43.283333333333324,-6.25,-0.1261776581426649,6.25
p95_cycle_time,conflict_manager,priority_reservation,conflict_manager=priority_reservation,49.533333333333324,44.01666666666667,-5.5166666666666515,-0.11137281292059191,5.5166666666666515
p95_cycle_time,charger_capacity,2,charger_capacity=2,49.533333333333324,49.533333333333324,0.0,0.0,0.0
p95_cycle_time,charger_capacity,6,charger_capacity=6,49.533333333333324,49.533333333333324,0.0,0.0,0.0
