num_robots,scheduler,run_id,stop_reason,tasks_completed,simulation_seconds,total_operating_cost,cost_per_task,sla_compliance_rate
4,baseline,20260903_045047_2f5353,target_reached,100,278.4,5.258666666666667,0.052586666666666664,1.0
4,priority,20260903_045050_5c4c74,target_reached,100,167.1,117.65633333333334,1.1765633333333334,0.95
4,total_cost,20260903_045052_bbea42,target_reached,100,168.0,142.17333333333335,1.4217333333333335,0.94
8,baseline,20260903_045055_402775,target_reached,101,142.79999999999998,5.077333333333333,0.05027062706270626,1.0
8,priority,20260903_045058_ac3b6b,target_reached,100,111.3,3.957333333333333,0.03957333333333333,1.0
8,total_cost,20260903_045100_4e2ba9,target_reached,100,112.2,3.9893333333333336,0.039893333333333336,1.0
12,baseline,20260903_045104_8cd5fb,target_reached,100,99.89999999999999,5.216999999999999,0.05216999999999999,1.0
12,priority,20260903_045106_fdb1d0,target_reached,100,95.7,4.9976666666666665,0.04997666666666666,1.0
12,total_cost,20260903_045108_84d7be,target_reached,100,84.0,4.386666666666667,0.043866666666666665,1.0
