target,factor,value,label,baseline,variant,delta,delta_percent,abs_delta
cost_per_task,num_robots,6,num_robots=6,0.03892888888888888,0.04355555555555555,0.004626666666666668,0.1188491836967691,0.004626666666666668
cost_per_task,num_robots,8,num_robots=8,0.03892888888888888,0.03576444444444444,-0.003164444444444442,-0.08128781824409174,0.003164444444444442
cost_per_task,num_robots,10,num_robots=10,0.03892888888888888,0.03818666666666667,-0.0007422222222222136,-0.019066103436465132,0.0007422222222222136
p95_cycle_time,num_robots,6,num_robots=6,49.533333333333324,101.16666666666667,51.63333333333335,1.042395693135936,51.63333333333335
p95_cycle_time,num_robots,8,num_robots=8,49.533333333333324,60.133333333333326,10.600000000000001,0.21399730820995969,10.600000000000001
p95_cycle_time,num_robots,10,num_robots=10,49.533333333333324,56.04999999999999,6.516666666666666,0.1315612382234186,6.516666666666666
