candidate,rep,seed,run_id,feasible,cost_per_task,p95_cycle_time,cost_per_task,tasks_completed,stop_reason,tasks_created,simulation_ticks,average_cycle_time,average_throughput,total_blocked_ticks,total_replans,sla_target_ticks,sla_evaluated_tasks,late_tasks,sla_compliance_rate,total_operating_cost,cost_feasible,overrides
pareto-29,19,376297091,20260909_025417_73e4c2,True,0.026780000000000005,105.0,0.026780000000000005,50,target_reached,118,309,40.94,0.16181229773462782,12,2,300,50,0,1.0,1.3390000000000002,True,"{""num_robots"": 4, ""charger_capacity"": 2, ""conflict_manager"": ""local_yield"", ""scheduler"": ""priority""}"
pareto-11,0,224899942,20260909_025418_43a1fd,True,0.0291,56.55,0.0291,50,target_reached,73,194,29.06,0.25773195876288657,49,12,300,50,0,1.0,1.455,True,"{""num_robots"": 7, ""charger_capacity"": 3, ""conflict_manager"": ""local_yield"", ""scheduler"": ""total_cost""}"
pareto-11,1,1149664691,20260909_025420_2c84dc,True,0.030299999999999994,86.14999999999996,0.030299999999999994,50,target_reached,76,202,32.14,0.24752475247524752,84,20,300,50,0,1.0,1.5149999999999997,True,"{""num_robots"": 7, ""charger_capacity"": 3, ""conflict_manager"": ""local_yield"", ""scheduler"": ""total_cost""}"
pareto-11,2,374463918,20260909_025422_413f14,True,0.027750000000000004,53.099999999999994,0.027750000000000004,50,target_reached,70,185,27.04,0.2702702702702703,56,13,300,50,0,1.0,1.3875000000000002,True,"{""num_robots"": 7, ""charger_capacity"": 3, ""conflict_manager"": ""local_yield"", ""scheduler"": ""total_cost""}"
pareto-11,3,1749090055,20260909_025423_37c58c,True,0.026849999999999995,79.0,0.026849999999999995,50,target_reached,69,179,28.8,0.27932960893854747,45,10,300,50,0,1.0,1.3424999999999998,True,"{""num_robots"": 7, ""charger_capacity"": 3, ""conflict_manager"": ""local_yield"", ""scheduler"": ""total_cost""}"
pareto-11,4,1144839923,20260909_025425_73fa07,True,0.0282,47.0,0.0282,50,target_reached,72,188,27.92,0.26595744680851063,50,11,300,50,0,1.0,1.41,True,"{""num_robots"": 7, ""charger_capacity"": 3, ""conflict_manager"": ""local_yield"", ""scheduler"": ""total_cost""}"
pareto-11,5,462568970,20260909_025426_3dc481,True,0.027750000000000004,69.04999999999997,0.027750000000000004,50,target_reached,70,185,27.62,0.2702702702702703,48,9,300,50,0,1.0,1.3875000000000002,True,"{""num_robots"": 7, ""charger_capacity"": 3, ""conflict_manager"": ""local_yield"", ""scheduler"": ""total_cost""}"
pareto-11,6,163868757,20260909_025428_fae5fe,True,0.026849999999999995,60.55,0.026849999999999995,50,target_reached,69,179,27.7,0.27932960893854747,43,8,300,50,0,1.0,1.3424999999999998,True,"{""num_robots"": 7, ""charger_capacity"": 3, ""conflict_manager"": ""local_yield"", ""scheduler"": ""total_cost""}"
pareto-11,7,1628326613,20260909_025429_f225a0,True,0.028949999999999997,76.59999999999991,0.028949999999999997,50,target_reached,73,193,31.56,0.25906735751295334,40,6,300,50,0,1.0,1.4474999999999998,True,"{""num_robots"": 7, ""charger_capacity"": 3, ""conflict_manager"": ""local_yield"", ""scheduler"": ""total_cost""}"
pareto-11,8,1426778249,20260909_025431_2de3b1,True,0.02897058823529412,62.5,0.02897058823529412,51,target_reached,75,197,29.333333333333332,0.25888324873096447,64,13,300,51,0,1.0,1.4775,True,"{""num_robots"": 7, ""charger_capacity"": 3, ""conflict_manager"": ""local_yield"", ""scheduler"": ""total_cost""}"
pareto-11,9,1463717239,20260909_025433_72ae1c,True,0.0285,89.34999999999995,0.0285,50,target_reached,72,190,32.3,0.2631578947368421,34,7,300,50,0,1.0,1.425,True,"{""num_robots"": 7, ""charger_capacity"": 3, ""conflict_manager"": ""local_yield"", ""scheduler"": ""total_cost""}"
pareto-11,10,222915915,20260909_025435_da6dc4,True,0.02955,84.1,0.02955,50,target_reached,75,197,31.56,0.25380710659898476,66,14,300,50,0,1.0,1.4775,True,"{""num_robots"": 7, ""charger_capacity"": 3, ""conflict_manager"": ""local_yield"", ""scheduler"": ""total_cost""}"
pareto-11,11,685744792,2.0260909025437826e+21,True,0.0279,66.64999999999999,0.0279,50,target_reached,70,186,30.36,0.26881720430107525,68,15,300,50,0,1.0,1.395,True,"{""num_robots"": 7, ""charger_capacity"": 3, ""conflict_manager"": ""local_yield"", ""scheduler"": ""total_cost""}"
pareto-11,12,580067372,20260909_025439_4c3a89,True,0.028050000000000002,47.19999999999999,0.028050000000000002,50,target_reached,72,187,26.82,0.26737967914438504,37,8,300,50,0,1.0,1.4025,True,"{""num_robots"": 7, ""charger_capacity"": 3, ""conflict_manager"": ""local_yield"", ""scheduler"": ""total_cost""}"
pareto-11,13,1448334525,20260909_025441_27adbc,True,0.02735294117647059,55.5,0.02735294117647059,51,target_reached,70,186,26.58823529411765,0.27419354838709675,35,6,300,51,0,1.0,1.395,True,"{""num_robots"": 7, ""charger_capacity"": 3, ""conflict_manager"": ""local_yield"", ""scheduler"": ""total_cost""}"
pareto-11,14,1433644589,20260909_025443_720dcd,True,0.028949999999999997,116.19999999999999,0.028949999999999997,50,target_reached,73,193,35.38,0.25906735751295334,56,10,300,50,0,1.0,1.4474999999999998,True,"{""num_robots"": 7, ""charger_capacity"": 3, ""conflict_manager"": ""local_yield"", ""scheduler"": ""total_cost""}"
pareto-11,15,1052968588,20260909_025444_e055da,True,0.027058823529411764,63.5,0.027058823529411764,51,target_reached,69,184,29.686274509803923,0.27717391304347827,66,14,300,51,0,1.0,1.38,True,"{""num_robots"": 7, ""charger_capacity"": 3, ""conflict_manager"": ""local_yield"", ""scheduler"": ""total_cost""}"
pareto-11,16,703416220,20260909_025446_7bb048,True,0.026849999999999995,99.29999999999998,0.026849999999999995,50,target_reached,69,179,32.44,0.27932960893854747,33,6,300,50,0,1.0,1.3424999999999998,True,"{""num_robots"": 7, ""charger_capacity"": 3, ""conflict_manager"": ""local_yield"", ""scheduler"": ""total_cost""}"
pareto-11,17,7174964,20260909_025448_fb151e,True,0.02879999999999999,62.49999999999997,0.02879999999999999,50,target_reached,73,192,28.74,0.2604166666666667,60,14,300,50,0,1.0,1.4399999999999995,True,"{""num_robots"": 7, ""charger_capacity"": 3, ""conflict_manager"": ""local_yield"", ""scheduler"": ""total_cost""}"
